side,ts_event,ts_recv,price,size,action,order_id,symbol
a,2024-11-12T06:50:46.220749548Z,2024-11-11 23:50:45.865131,3390.73,5.9,delete,OXCGI5-W6TVW-ODR4DR,ETH/USD
a,2024-11-12T06:50:45.864837070Z,2024-11-11 23:50:45.866015,3390.38,0.0087801,delete,OQS3QQ-M7SGB-VFEJNZ,ETH/USD
a,2024-11-12T06:50:45.780049704Z,2024-11-11 23:50:45.866015,3391.7,73.70939275,add,OG3Q4D-F4KP4-OIMQA5,ETH/USD
a,2024-11-12T06:50:46.221290961Z,2024-11-11 23:50:45.866211,3389.43,0.0087801,add,OQS3QQ-M7SGB-VFEJNZ,ETH/USD
b,2024-11-12T06:50:46.221904856Z,2024-11-11 23:50:45.969174,0.399488,2193.75,delete,O7OGKI-V2XSX-4CYNQ3,DOGE/USD
b,2024-11-12T06:50:38.769275645Z,2024-11-11 23:50:45.969174,0.3992896,2193.75,add,OODG5K-6F5JX-YGV4UK,DOGE/USD
a,2024-11-12T06:50:46.221913273Z,2024-11-11 23:50:45.969375,0.3996072,2193.75,add,OJYQD5-K2ZRN-RZAJEZ,DOGE/USD
a,2024-11-12T06:50:46.221925137Z,2024-11-11 23:50:45.969988,0.399593,2193.75,add,OZHCFZ-N4NL4-BXWJGJ,DOGE/USD
a,2024-11-12T06:50:46.224704943Z,2024-11-11 23:50:45.970168,0.3996478,15997.1425615,add,OHU5BC-LZCXB-UJQXBY,DOGE/USD
a,2024-11-12T06:50:46.225283882Z,2024-11-11 23:50:45.970376,3390.39,2.7,delete,O6MSST-WAIM7-ZH54B3,ETH/USD
a,2024-11-12T06:50:44.537436069Z,2024-11-11 23:50:45.970376,3391.72,2.7,add,ONVWKG-5DCC4-ROKTA2,ETH/USD
b,2024-11-12T06:50:46.225384456Z,2024-11-11 23:50:45.970585,0.3994459,2193.75,delete,OTUEFT-M4I5Z-N7Q3LW,DOGE/USD
b,2024-11-12T06:50:38.856903576Z,2024-11-11 23:50:45.970585,0.3991438,18820.66417788,add,O5OXNA-UI4SJ-D22HXM,DOGE/USD
b,2024-11-12T06:50:46.225397162Z,2024-11-11 23:50:45.970810,0.3994859,10855.05745384,delete,OLSYL7-EDD2W-56XWAD,DOGE/USD
